M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,15,-,芝田 安希,1,-,□,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,16,-,冨田 寧寧,3,■,■,■,-,-,18,7,2,38.9,2.33,0,0,0,-,0,-,12,0,1,4,8.3,0,0,0,-
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,0,3,22,25,0.015277778,17,25,0.016666667,22,25,0.016666667,-,-,-,-,-,-,東レアローズ,20,-,山崎 望美,1,-,□,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,2,-,池上 亜紀,1,□,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,3,-,橋本 由紀子,4,■,■,■,■,-,19,5,1,26.3,1.25,0,0,0,-,1,0.25,20,0,0,9,11.2,27,13,0,48.1
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,4,-,先野 久美子,4,■,■,■,■,-,21,10,0,47.6,2.5,0,0,0,-,5,1.25,19,0,2,4,5.3,2,2,0,100
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,5,-,関井 陽子,4,■,■,■,■,-,43,14,4,32.6,3.5,0,0,0,-,2,0.5,13,0,1,5,9.6,11,8,0,72.7
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,6,-,村川 裕子,2,-,-,□,□,-,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,7,-,江口 理代,3,□,-,□,□,-,4,1,1,25,0.33,0,0,0,-,0,-,4,0,0,2,12.5,0,0,0,-
Women,2001_2002,574,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.75,0.822222222,0.072222222,-,KIM YOUNG- IL,伊藤　博之,岡野　俊樹,久光製薬スプリングス,パイオニアレッドウィングス,3,1,25,20,0.015277778,25,18,0.018055556,21,25,0.017361111,25,21,0.015277778,-,-,-,久光製薬スプリングス,8,-,大村 加奈子,4,■,■,■,■,-,54,19,2,35.2,4.75,1,0,0,0,3,0.75,10,0,2,4,10,4,2,0,50
